Twitter Query: #NiUnaMenos lang:es -filter:retweets -filter:replies,,,,,,,,,,,User Details,,,,,,,,,
Date,Screen Name,Full Name,Tweet Text,Tweet ID,Link(s),Media,Location,Retweets,Favorites,App,Followers,Follows,Listed,Verfied,User Since,Location,Bio,Website,Timezone,Profile Image
2/11/2019,@lui_regresa,Luiraima,"El ""ilustrísimo ultra Dr."" @Jesus_Silva__R le propinó una golpiza a Clarixa Ron Romero quien es su pareja y madre de sus hijos. No es de extrañar esta noticia porque es obvio las desviaciones éticas de este personaje. Sororidad con la víctima #elmachismomata #NiUnaMas #NiUnaMenos",1094910168276631552,,https://pbs.twimg.com/media/DzHm-7hWkAEdxqZ.jpg,,0,0,Twitter for Android,1211,1851,8,,3/10/2012,,Ing. Geóloga. Anti-fascista. Feminista. Libertaria.,,,View
2/11/2019,@Juli_Marziali,J M ~,Seguimos contando.. #NiUnaMenos,1094903575363362816,,https://pbs.twimg.com/media/DzHg9svXgAEA4yD.jpg,,0,0,Twitter for Android,106,50,1,,10/27/2010,,Se Va a Caer 💚✊🏻 . 🇦🇷🔜🇨🇱,https://Instagram.com/juli_marziali/,,View
2/11/2019,@alexTFKN,Haly,Nos intentaron secuestrar varias veces #NiUnaMenos x'd,1094902002180648960,,,,0,0,Facebook,71,478,0,,5/20/2010,venezuela,"Solo soy una chica, que comparte sus locuras en la internet.",https://www.facebook.com/HalyLaTeletubiZombieJksasjYLOSponiesMarihuaneados,,View
2/11/2019,@MarcePCsolution,"Ideas, no ambiciones",Quiero leer a las #NiUnaMenos cazando a este criminal ¿O si es peroncho tiene inmunidad para privar ilegalmente la libertad y golpear mujeres? RT @VoyEnUBER: Mafia caza-uber de CABA. Violencia para-policial. Se debe denunciar penalmente estos casos.,1094898555918131200,https://twitter.com/VoyEnUBER/status/1094754971646611464,pic.twitter.com/HYFodhU3rn,,3,7,Twitter for Android,796573,860692,1012,,1/28/2011,Argentina Nunca Será Comunista,Imprescriptibilidad delitos cometidos x Estatales ✈ Contra la explotación de los pobres y la pobreza #LegionAntiK Leopoldo+Corina+Henrique #FollowBackCommunity,https://twitter.com/MarcePCsolution,,View
2/11/2019,@fundacomunes,Fundación de los Comunes,"En breve arranca la gira 🔥 EL FUEGO ES NUESTRO 🔥, que nos permitirá conversar con @veronica_gago y Luci Cavallero de #NiUnaMenos Argentina sobre los retos del movimiento feminista actual. ¡Reserva en tu agenda!",1094897330116014080,,https://pbs.twimg.com/media/Dy36PPDWwAI90FI.jpg,,3,0,TweetDeck,11250,1469,347,,6/24/2011,Iberia,"Red de cooperativas y centros sociales autónomos al servicio de la revolución democrática. Herramientas de investigación, formación y acción para el común.",http://fundaciondeloscomunes.net,,View
2/11/2019,@heavvysoul,michelle 🦋,tøp no es rock que no es rock no entienden nada ellos hacen pop no es rock tøp no es rock no es rock rock enfermos donde ven rock que no es rock esos pelados no hacen rock eh mira que no es rock dejen de decir que tøp es rock porque no es rock se entiende NO es NO #NiUnaMenos,1094893102026973187,,,,0,0,Twitter for Android,10,201,0,,9/22/2018,tu vieja ,arabella tiene botas de cocodrilo intergalactico.,,,View
2/11/2019,@magaddino_ana,Ana María Magaddino,NO caigo en ninguna trampa #NiUnaMenos,1094890851979931649,,,,0,0,Twitter for Android,865,3017,0,,12/21/2017,"Buenos Aires, Argentina","Amo los animales, me gusta la naturaleza. Los niños son nuestro futuro y siempre hay que buscar lo mejor para ellos.",,,View
2/11/2019,@SabrinaMiiranda,Sabri 💎,Cada vez que escucho una noticia así se me pone la piel de gallina y los ojos llenos de lágrimas 😢 #NiUnaMenos por favor!,1094887220505440256,,,,0,0,Twitter for Android,423,415,0,,8/24/2013,Jesus Maria ,Mamá de Francina (25/07/18) 💝 La ternura es la columna central que sostiene la vida 💞 - Soy FELIZ desde que tengo a mi hija 🎀 L i b r e 🎈,,,View
2/11/2019,@IUGetafe,IU Getafe 🔻,⚠️ Hoy nos vemos a las 12:00h en la plaza del ayuntamiento para condenar el asesinato machista de una joven de 22 años en Alcalá de Henares. #NosQueremosVivas #NiUnPasoAtrásEnIgualdad #NiUnaMenos,1094885737621803008,,,,6,4,Twitter for Android,1782,1139,35,,3/8/2012,,Movimiento político y social de la izquierda transformadora de Getafe,http://iugetafe.org/,,View
2/11/2019,@Arganda_Ayto,Arganda del Rey,"A las 12:00 horas, en la puerta del Ayuntamiento de #Arganda, se guardará un minuto de silencio por el nuevo caso de violencia de género ocurrido en Alcalá de Henares. #BastaYa #NiUnaMenos",1094885301682622464,,https://pbs.twimg.com/media/DzHQQcJX0AA0ZjA.jpg,,0,1,Twitter Web Client,6292,1051,105,,2/4/2011,Arganda del Rey,"Twitter oficial del Ayuntamiento de Arganda del Rey. También estamos en Facebook , Youtube e Instagram. Contacta con nosotros en prensa@ayto-arganda.es",http://www.ayto-arganda.es,,View
